DATE;AMOUNT;COUNT
27/09/2015;2440;17
28/09/2015;3320;20
29/09/2015;7960;36
30/09/2015;3224;19
01/10/2015;4656;27
02/10/2015;8688;44
03/10/2015;15048;95
04/10/2015;12888;73
05/10/2015;11664;62
06/10/2015;11400;59
07/10/2015;11576;65
08/10/2015;11256;66
09/10/2015;9640;61
10/10/2015;22096;108
11/10/2015;15032;96
12/10/2015;12496;64
13/10/2015;9640;49
14/10/2015;10664;62
15/10/2015;11056;65
16/10/2015;9840;55
17/10/2015;12368;77
18/10/2015;8552;56
19/10/2015;11400;62
20/10/2015;13472;78
21/10/2015;11128;58
22/10/2015;12016;64
23/10/2015;13024;71
24/10/2015;11208;71
25/10/2015;8496;56
26/10/2015;12368;71
27/10/2015;13872;72
28/10/2015;9864;57
29/10/2015;13016;82
30/10/2015;13344;78
31/10/2015;19016;107
01/11/2015;7552;38
02/11/2015;20360;92
03/11/2015;20208;91
04/11/2015;7656;46
05/11/2015;10168;51
06/11/2015;9128;50
07/11/2015;14928;83
08/11/2015;9672;64
09/11/2015;0;0
10/11/2015;6376;41
11/11/2015;9176;62
12/11/2015;8648;53
13/11/2015;11312;63
14/11/2015;14968;94
15/11/2015;14120;105
16/11/2015;10160;65
17/11/2015;8248;49
18/11/2015;13328;80
19/11/2015;10872;68
20/11/2015;9920;55
21/11/2015;11344;69
22/11/2015;18320;113
23/11/2015;12664;75
24/11/2015;12168;70
25/11/2015;14504;79
26/11/2015;15248;85
27/11/2015;17808;92
28/11/2015;20312;102
29/11/2015;19712;122
30/11/2015;17224;94
01/12/2015;19096;98
02/12/2015;18104;83
03/12/2015;15272;77
04/12/2015;10920;61
05/12/2015;14176;79
06/12/2015;13528;82
07/12/2015;11048;63
08/12/2015;11368;66
09/12/2015;7856;45
10/12/2015;10456;55
11/12/2015;9168;61
12/12/2015;17448;94
13/12/2015;16448;117
14/12/2015;16440;91
15/12/2015;7168;47
16/12/2015;14976;73
17/12/2015;13496;73
18/12/2015;17192;95
19/12/2015;25256;123
20/12/2015;17912;120
21/12/2015;10544;55
22/12/2015;13344;65
23/12/2015;12952;72
24/12/2015;11888;62
25/12/2015;18888;98
26/12/2015;28168;143
27/12/2015;19512;128
28/12/2015;18376;98
29/12/2015;14512;74
30/12/2015;20448;103
31/12/2015;18576;94
01/01/2016;11912;59
02/01/2016;23392;125
03/01/2016;17504;106
04/01/2016;19104;84
05/01/2016;12824;61
06/01/2016;9648;47
07/01/2016;8304;48
08/01/2016;13368;67
09/01/2016;17576;95
10/01/2016;10376;73
11/01/2016;12808;70
12/01/2016;12248;60
13/01/2016;9480;53
14/01/2016;11680;75
15/01/2016;12184;77
16/01/2016;11520;77
17/01/2016;13184;83
18/01/2016;14800;80
19/01/2016;11664;62
20/01/2016;16936;92
21/01/2016;18448;95
22/01/2016;9480;55
23/01/2016;17208;85
24/01/2016;11288;71
25/01/2016;17888;87
26/01/2016;14952;80
27/01/2016;12064;71
28/01/2016;12144;77
29/01/2016;13248;68
30/01/2016;15824;85
31/01/2016;12184;80
01/02/2016;17048;88
02/02/2016;15792;75
03/02/2016;10616;58
04/02/2016;8744;49
05/02/2016;9768;59
06/02/2016;19440;110
07/02/2016;14312;100
08/02/2016;12384;72
09/02/2016;8992;49
10/02/2016;8832;51
11/02/2016;8416;52
12/02/2016;12624;76
13/02/2016;18912;100
14/02/2016;10816;70
15/02/2016;11728;72
16/02/2016;9896;64
17/02/2016;10760;77
18/02/2016;15400;89
19/02/2016;12360;73
20/02/2016;16216;92
21/02/2016;11680;77
22/02/2016;8952;58
23/02/2016;10368;60
24/02/2016;16808;91
25/02/2016;11368;82
26/02/2016;19848;118
27/02/2016;23432;145
28/02/2016;20360;132
29/02/2016;6552;38
01/03/2016;18512;97
02/03/2016;14968;88
03/03/2016;12184;64
04/03/2016;14912;97
05/03/2016;20784;119
06/03/2016;15944;115
07/03/2016;12808;85
08/03/2016;10584;61
09/03/2016;8976;67
10/03/2016;9288;60
11/03/2016;9976;67
12/03/2016;10128;64
13/03/2016;0;0
14/03/2016;9912;66
15/03/2016;11352;73
16/03/2016;12840;76
17/03/2016;12912;76
18/03/2016;15984;86
19/03/2016;1072;8
20/03/2016;10536;74
21/03/2016;10448;65
22/03/2016;13912;79
23/03/2016;15240;89
24/03/2016;14184;86
25/03/2016;14632;92
26/03/2016;18536;107
27/03/2016;12768;86
28/03/2016;14104;83
29/03/2016;12208;78
30/03/2016;16112;104
31/03/2016;15504;85
01/04/2016;15144;82
02/04/2016;14104;88
03/04/2016;16144;98
04/04/2016;13640;74
05/04/2016;20992;98
06/04/2016;13792;84
07/04/2016;9672;62
08/04/2016;15736;100
09/04/2016;14904;92
10/04/2016;13472;95
11/04/2016;11064;71
12/04/2016;10432;76
13/04/2016;9192;74
14/04/2016;9296;73
15/04/2016;12536;85
16/04/2016;14720;91
17/04/2016;12848;85
18/04/2016;17624;89
19/04/2016;14304;83
20/04/2016;12168;67
21/04/2016;11632;77
22/04/2016;15696;88
23/04/2016;17736;100
24/04/2016;14504;91
25/04/2016;9136;53
26/04/2016;11968;58
27/04/2016;12856;68
28/04/2016;13072;87
29/04/2016;14208;91
30/04/2016;20424;125
01/05/2016;13920;80
02/05/2016;13104;72
03/05/2016;18768;97
04/05/2016;15936;99
05/05/2016;18216;98
06/05/2016;13816;86
07/05/2016;4032;24
08/05/2016;20856;131
09/05/2016;16696;94
10/05/2016;12080;80
11/05/2016;8840;63
12/05/2016;13320;71
13/05/2016;10728;61
14/05/2016;12400;77
15/05/2016;12784;85
16/05/2016;11576;69
17/05/2016;13704;82
18/05/2016;11952;68
19/05/2016;15336;93
20/05/2016;11632;68
21/05/2016;23480;143
22/05/2016;21176;137
23/05/2016;10608;56
24/05/2016;14848;83
25/05/2016;13256;82
26/05/2016;14144;79
27/05/2016;15456;84
28/05/2016;14760;97
29/05/2016;13944;86
30/05/2016;18056;92
31/05/2016;17736;100
01/06/2016;19432;95
02/06/2016;18768;100
03/06/2016;20168;105
04/06/2016;17544;86
05/06/2016;14728;92
06/06/2016;12792;63
07/06/2016;10520;62
08/06/2016;10344;61
09/06/2016;12672;73
10/06/2016;10128;60
11/06/2016;13616;83
12/06/2016;11864;73
13/06/2016;13344;82
14/06/2016;11672;69
15/06/2016;10384;70
16/06/2016;11064;65
17/06/2016;18976;99
18/06/2016;12240;75
19/06/2016;11648;80
20/06/2016;8832;56
21/06/2016;15176;81
22/06/2016;12464;76
23/06/2016;13200;71
24/06/2016;13208;70
25/06/2016;0;0
26/06/2016;0;0
27/06/2016;13744;71
28/06/2016;14784;88
29/06/2016;7736;54
30/06/2016;17920;107
01/07/2016;15296;86
02/07/2016;4368;23
03/07/2016;18928;107
04/07/2016;12264;67
05/07/2016;9680;55
06/07/2016;0;0
07/07/2016;6072;38
08/07/2016;11272;65
09/07/2016;11992;69
10/07/2016;10624;79
